"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"GLIS1","OK",0.00998813228771478,2.32679338658538,0.00699000914892465,"GLIS1",0.0349721684872361
"MRPS21","OK",0.00999363754049249,2.32658666261074,0.0220522372214904,"MRPS21",0.0349840591487143
"MAP2K1","OK",0.0100074818909058,2.32606724185212,0.0216210105754918,"MAP2K1",0.0350251307538644
"CAND1","OK",0.0100146623184506,2.32579808916464,0.0214142002227363,"CAND1",0.0350428669227471
"C16orf59","OK",0.0100185583312592,2.32565212066617,0.0131452404255311,"C16orf59",0.0350491053537787
"SPG20","OK",0.0100210490860599,2.32555882769775,0.0211236748392235,"SPG20",0.0350504260104152
"ZMYND15","OK",0.01003615116207,2.32499360182248,0.0112313947489921,"ZMYND15",0.0350958471798636
"TLR6","OK",0.0100865488848776,2.32311272108268,0.0210888995502924,"TLR6",0.0352646500431238
"RNF125","OK",0.0101216866700647,2.32180619866343,0.0213813613063347,"RNF125",0.0353800411190079
"CDC73","OK",0.0101684435367935,2.3200737686822,0.0216866349568992,"CDC73",0.0355359891490217
"NGLY1","OK",0.0102116686731971,2.31847836672361,0.0218990215190649,"NGLY1",0.0356795316228453
"PCNT","OK",0.0102347446619384,2.31762906242504,0.0217177225784835,"PCNT",0.0357526274142607
"VPS28","OK",0.0102767991731657,2.31608554575121,0.0218398585972246,"VPS28",0.03589197538137
"RPF1","OK",0.0103402096491879,2.31376858796436,0.0218655140561923,"RPF1",0.0361058352087223
"SEPT10","OK",0.0103769887762379,2.31243038448054,0.0205392548956428,"SEPT10",0.0362266335177188
"HOXB2","OK",0.0104038492002063,2.31145568165461,0.0207611059458076,"HOXB2",0.0363127615392722
"METTL1","OK",0.0104601230903174,2.30942072297654,0.0212533581870585,"METTL1",0.0365014941249747
"CHTOP","OK",0.0105144772167544,2.30746422441967,0.0217337903646759,"CHTOP",0.0366694022637421
"WAS","OK",0.0105148726134304,2.3074500242779,0.0215979975096433,"WAS",0.0366694022637421
"LENG1","OK",0.0105138535811692,2.30748662240174,0.0214956811666709,"LENG1",0.0366694022637421
"GANC","OK",0.0105295002782102,2.30692501801277,0.0211524570473758,"GANC",0.0367126007573872
"ITPA","OK",0.010531686627496,2.30684660163843,0.021785534932423,"ITPA",0.0367126007573872
"PDE6D","OK",0.0105869632725232,2.30486872706228,0.0217711551773045,"PDE6D",0.0368975357928282
"CHML","OK",0.0106150576509162,2.30386691732357,0.0202727880442376,"CHML",0.0369876777727094
"MAF1","OK",0.0106294451744611,2.30335477049588,0.0215222712268827,"MAF1",0.0370300310152514
"DLGAP4","OK",0.0106786863321696,2.30160651038883,0.0217016407304987,"DLGAP4",0.0371937613408997
"TNFSF13B","OK",0.0106883835923563,2.30126304617609,0.0202070340226473,"TNFSF13B",0.0372197208194041
"TSR2","OK",0.0107197951716788,2.30015234935847,0.0217276475921826,"TSR2",0.0373212684125659
"AC108925.1","OK",0.0107399269057209,2.29944199117021,0.0192260343619215,"AC108925.1",0.0373835105263981
"CCT6A","OK",0.0107956690000088,2.29748113550681,0.0213918367788754,"CCT6A",0.0375696529656203
"TNNT3","OK",0.0108021827695257,2.29725257429031,0.0199232081183777,"TNNT3",0.0375844353713769
"NSUN4","OK",0.0108315032632936,2.29622523260387,0.02130022766111,"NSUN4",0.0376785472158113
"PXDC1","OK",0.0108615887940184,2.29517359843038,0.0176257233163872,"PXDC1",0.0377752802972508
"P2RX4","OK",0.01086778911191,2.29495718260775,0.021235474243583,"P2RX4",0.0377889203794843
"ATG7","OK",0.0108845939819166,2.29437116547042,0.0206860809463749,"ATG7",0.0378314911534094
"PRRC1","OK",0.0108824506108172,2.2944458649869,0.0215986208368391,"PRRC1",0.0378314911534094
"AGPAT1","OK",0.0109021726734201,2.29375900574748,0.00688167752247121,"AGPAT1",0.0378846503166447
"TGFBI","OK",0.0109680645473334,2.29147200696831,0.0182814615404125,"TGFBI",0.0381056385802413
"CHMP1B","OK",0.0109846452999857,2.29089839919773,0.0216066380912222,"CHMP1B",0.0381552517163482
"EIF6","OK",0.0110097003357612,2.2900330528247,0.0216909163144973,"EIF6",0.0382342734022058
"AK6","OK",0.0110190629147971,2.28971012938795,0.0214910784879522,"AK6",0.038258776953072
"CCT2","OK",0.0110391626904362,2.28901767619737,0.0215848493910213,"CCT2",0.0383205425666754
"C18orf25","OK",0.0110483936888165,2.28870002842088,0.0214497416644754,"C18orf25",0.0383445611472506
"WDR37","OK",0.0110611741768541,2.28826062004048,0.0207863090837737,"WDR37",0.0383808859617786
"CRCT1","OK",0.011094979503806,2.28710047787269,0.00200203691495637,"CRCT1",0.038490133873693
"RBM48","OK",0.0111255691231693,2.28605333984374,0.0211892752752231,"RBM48",0.0385881826593236
"CEBPZ","OK",0.0111289864600023,2.28593651374689,0.0216333983749082,"CEBPZ",0.0385919651736562
"AGAP1","OK",0.0111349491205786,2.28573274713254,0.0171028369984053,"AGAP1",0.0386014653215881
"KPNA4","OK",0.0111363807767876,2.28568383616324,0.0214496025288607,"KPNA4",0.0386014653215881
"TMX2","OK",0.011185595146694,2.28400579636007,0.0214901655920161,"TMX2",0.038763953427302
